AfterHoursChangeRealtime	AnnualizedGain	Ask	AskRealtime	AverageDailyVolume	Bid	BidRealtime	BookValue	Change	ChangeFromFiftydayMovingAverage	ChangeFromTwoHundreddayMovingAverage	ChangeFromYearHigh	ChangeFromYearLow	ChangePercentRealtime	ChangeRealtime	Change_PercentChange	ChangeinPercent	Commission	Currency	DaysHigh	DaysLow	DaysRange	DaysRangeRealtime	DaysValueChange	DaysValueChangeRealtime	DividendPayDate	DividendShare	DividendYield	EBITDA	EPSEstimateCurrentYear	EPSEstimateNextQuarter	EPSEstimateNextYear	EarningsShare	ErrorIndicationreturnedforsymbolchangedinvalid	ExDividendDate	FiftydayMovingAverage	HighLimit	HoldingsGain	HoldingsGainPercent	HoldingsGainPercentRealtime	HoldingsGainRealtime	HoldingsValue	HoldingsValueRealtime	LastTradeDate	LastTradePriceOnly	LastTradeRealtimeWithTime	LastTradeTime	LastTradeWithTime	LowLimit	MarketCapRealtime	MarketCapitalization	MoreInfo	Name	Notes	OneyrTargetPrice	Open	OrderBookRealtime	PEGRatio	PERatio	PERatioRealtime	PercebtChangeFromYearHigh	PercentChange	PercentChangeFromFiftydayMovingAverage	PercentChangeFromTwoHundreddayMovingAverage	PercentChangeFromYearLow	PreviousClose	PriceBook	PriceEPSEstimateCurrentYear	PriceEPSEstimateNextYear	PricePaid	PriceSales	SharesOwned	ShortRatio	StockExchange	Symbol	TickerTrend	TradeDate	TwoHundreddayMovingAverage	Volume	YearHigh	YearLow	YearRange	symbol
null	null	0.42	null	517278	0.41	null	0.84	0.00	0.04	0.07	-0.06	0.16	null	null	0.00 - 1.20%	1.20%	null	CAD	0.43	0.41	0.41 - 0.43	null	null	null	null	null	null	87.06M	-0.03	-0.02	null	0.09	null	3/11/2005	0.38	null	null	null	null	null	null	null	4/8/2016	0.42	null	3:58pm	3:58pm - <b>0.42</b>	null	null	222.32M	null	PERSEUS MINING LIMITED	null	null	0.41	null	0.20	4.94	null	-12.50%	1.20%	9.13%	21.36%	61.54%	0.41	0.49	null	null	null	0.84	null	0.43	TOR	PRU.to	null	null	0.35	776209	0.48	0.26	0.26 - 0.48	PRU
null	null	7.87	null	null	7.73	null	0.00	-0.10	7.73	7.73	-1.38	0.45	null	null	-0.10 - -1.28%	-1.28%	null	CAD	7.87	7.73	7.73 - 7.87	null	null	null	4/14/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	7.73	null	3:59pm	3:59pm - <b>7.73</b>	null	null	533.62B	null	PIMCO GLOBAL INC OPPORTUNITIES	null	null	7.80	null	0.00	null	null	-15.15%	-1.28%	inf%	inf%	6.18%	7.83	null	null	null	null	null	null	0.00	TOR	PGI-UN.to	null	null	0.00	47436	9.11	7.28	7.28 - 9.11	PGI.UN
null	null	0.400	null	399241	0.390	null	0.382	0.015	-0.025	0.016	-0.175	0.255	null	null	0.015 - 3.947%	3.947%	null	CAD	0.410	0.380	0.380 - 0.410	null	null	null	null	0.000	0.000	16.14M	0.000	-0.010	null	-0.137	null	null	0.420	null	null	null	null	null	null	null	4/8/2016	0.395	null	3:59pm	3:59pm - <b>0.395</b>	null	null	69.94M	null	PETROWEST CORPORATION	null	null	0.380	null	0.000	null	null	-30.702%	3.947%	-6.016%	4.285%	182.143%	0.380	0.995	null	7.900	null	0.322	null	0.630	TOR	PRW.to	null	null	0.379	307775	0.570	0.140	0.140 - 0.570	PRW
null	null	1.15	null	82371	1.13	null	0.75	-0.02	-0.15	-4.11	-23.27	0.53	null	null	-0.02 - -1.74%	-1.74%	null	CAD	1.21	1.12	1.12 - 1.21	null	null	null	10/17/2011	0.00	0.00	53.52M	-0.09	0.00	null	-0.10	null	9/28/2011	1.28	null	null	null	null	null	null	null	4/8/2016	1.13	null	3:56pm	3:56pm - <b>1.13</b>	null	null	170.61M	null	PERPETUAL ENERGY INC	null	null	1.14	null	0.00	null	null	-95.37%	-1.74%	-11.93%	-78.42%	88.33%	1.15	1.53	null	null	null	1.12	null	0.03	TOR	PMT.to	null	null	5.24	102479	24.40	0.60	0.60 - 24.40	PMT
null	null	2.13	null	null	2.11	null	1.99	0.02	2.12	2.12	-2.87	0.03	null	null	0.02 - 0.95%	0.95%	null	CAD	2.12	2.09	2.09 - 2.12	null	null	null	null	null	null	86.58M	-0.33	-0.06	null	-0.69	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	2.12	null	3:59pm	3:59pm - <b>2.12</b>	null	null	298.06M	null	PETRUS RESOURCES LTD	null	null	2.10	null	0.00	null	null	-57.52%	0.95%	inf%	inf%	1.44%	2.10	1.05	null	null	null	2.97	null	0.00	TOR	PRQ.to	null	null	0.00	14714	4.99	2.09	2.09 - 4.99	PRQ
null	null	7.19	null	null	7.17	null	0.00	-0.13	7.17	7.17	-2.19	0.02	null	null	-0.13 - -1.78%	-1.78%	null	CAD	7.30	7.15	7.15 - 7.30	null	null	null	4/21/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	7.17	null	3:58pm	3:58pm - <b>7.17</b>	null	null	92.39B	null	PICTON MAHONEY TACTICAL INCOME	null	null	7.30	null	0.00	null	null	-23.40%	-1.78%	inf%	inf%	0.28%	7.30	null	null	null	null	null	null	0.00	TOR	PMB-UN.to	null	null	0.00	18400	9.36	7.15	7.15 - 9.36	PMB.UN
null	null	28.70	null	657932	28.59	null	10.19	0.59	0.23	0.91	-8.62	7.14	null	null	0.59 - 2.10%	2.10%	null	CAD	28.80	28.00	28.00 - 28.80	null	null	null	4/15/2016	1.32	4.85	614.10M	0.77	0.13	null	1.04	null	3/29/2016	28.46	null	null	null	null	null	null	null	4/8/2016	28.69	null	4:15pm	4:15pm - <b>28.69</b>	null	null	4.56B	null	PEYTO EXPLORATION AND DVLPMNT C	null	null	28.58	null	1.44	27.56	null	-23.10%	2.10%	0.82%	3.28%	33.13%	28.10	2.76	37.26	25.17	null	7.10	null	1.39	TOR	PEY.to	null	null	27.78	512034	37.31	21.55	21.55 - 37.31	PEY
null	null	0.56	null	386997	0.55	null	0.67	0.01	0.07	0.11	-12.62	0.34	null	null	0.01 - 1.82%	1.82%	null	CAD	0.59	0.52	0.52 - 0.59	null	null	null	null	null	null	-4.99M	-0.06	-0.01	null	-0.07	null	null	0.49	null	null	null	null	null	null	null	4/8/2016	0.56	null	3:59pm	3:59pm - <b>0.56</b>	null	null	60.11M	null	PILOT GOLD INC	null	null	0.55	null	0.00	null	null	-95.75%	1.82%	15.29%	23.81%	154.55%	0.55	0.83	null	null	null	null	null	0.36	TOR	PLG.to	null	null	0.45	513988	13.18	0.22	0.22 - 13.18	PLG
null	null	0.64	null	530500	0.63	null	0.71	-0.01	-0.10	-0.30	-1.01	0.02	null	null	-0.01 - -1.54%	-1.54%	null	CAD	0.65	0.62	0.62 - 0.65	null	null	null	null	null	null	29.26M	null	0.00	null	-0.13	null	null	0.74	null	null	null	null	null	null	null	4/8/2016	0.64	null	3:46pm	3:46pm - <b>0.64</b>	null	null	151.63M	null	PINE CLIFF ENERGY LTD	null	null	0.65	null	0.00	null	null	-61.21%	-1.54%	-12.99%	-31.63%	3.23%	0.65	0.92	null	null	null	2.02	null	0.00	TOR	PNE.to	null	null	0.94	520210	1.65	0.62	0.62 - 1.65	PNE
null	null	0.030	null	368860	0.025	null	0.126	0.000	-0.010	-0.022	-0.115	0.005	null	null	0.000 - 0.000%	0.000%	null	CAD	0.030	0.025	0.025 - 0.030	null	null	null	null	null	null	-76.05M	0.080	0.000	null	-0.512	null	null	0.035	null	null	null	null	null	null	null	4/8/2016	0.025	null	2:39pm	2:39pm - <b>0.025</b>	null	null	5.05M	null	PINETREE CAPITAL LTD	null	null	0.030	null	0.000	null	null	-82.143%	0.000%	-28.279%	-46.841%	25.000%	0.025	0.198	null	null	null	null	null	0.000	TOR	PNP.to	null	null	0.047	334500	0.140	0.020	0.020 - 0.140	PNP
null	null	19.90	null	null	19.08	null	0.00	0.35	19.43	19.43	-4.66	1.78	null	null	0.35 - 1.83%	1.83%	null	CAD	20.00	19.43	19.43 - 20.00	null	null	null	4/14/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	19.43	null	2:31pm	2:31pm - <b>19.43</b>	null	null	26.34B	null	PINEBRIDGE INV GRADE PREF SEC F	null	null	19.99	null	0.00	null	null	-19.34%	1.83%	inf%	inf%	10.08%	19.08	null	null	null	null	null	null	0.00	TOR	PRF-UN.to	null	null	0.00	2117	24.09	17.65	17.65 - 24.09	PRF.UN
null	null	101.25	null	null	100.15	null	0.00	0.00	null	null	0.00	43.00	null	null	0.00 - 0.00%	0.00%	null	CAD	101.00	101.00	101.00 - 101.00	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	3/28/2016	101.00	null	10:46am	10:46am - <b>101.00</b>	null	null	null	null	PINETREE CAPITAL LTD 10 PCT DEB	null	null	null	null	0.00	null	null	0.00%	0.00%	null	null	74.14%	101.00	null	null	null	null	null	null	null	TOR	PNP-DB.to	null	null	null	3213	101.00	58.00	58.00 - 101.00	PNP.DB
null	null	0.00	null	null	null	null	0.00	0.00	0.00	0.00	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	null	0.00	0.00	0.00 - 0.00	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	0.00	null	2:36pm	2:36pm - <b>0.00</b>	null	null	null	null	null	null	null	0.00	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.00%	0.00	null	null	null	null	null	null	0.00	TOR	PNP-RT.to	null	null	0.00	101800	0.00	0.00	0.00 - 0.00	PNP.RT
null	null	13.82	null	27600	13.76	null	8.89	0.03	0.44	0.31	-0.86	1.63	null	null	0.03 - 0.22%	0.22%	null	CAD	13.82	13.76	13.76 - 13.82	null	null	null	4/15/2016	0.84	6.04	0.00	0.90	0.22	null	0.82	null	3/29/2016	13.34	null	null	null	null	null	null	null	4/8/2016	13.78	null	3:40pm	3:40pm - <b>13.78</b>	null	null	423.62M	null	PIZZA PIZZA ROYALTY CORP	null	null	13.82	null	0.00	16.85	null	-5.87%	0.22%	3.27%	2.31%	13.42%	13.75	1.55	15.31	14.82	null	12.26	null	10.31	TOR	PZA.to	null	null	13.47	13413	14.64	12.15	12.15 - 14.64	PZA
null	null	4.70	null	137756	4.65	null	4.87	-0.05	0.80	1.79	-2.30	3.30	null	null	-0.05 - -1.05%	-1.05%	null	CAD	4.90	4.58	4.58 - 4.90	null	null	null	null	null	null	-6.56M	-0.20	-0.07	null	-0.01	null	null	3.90	null	null	null	null	null	null	null	4/8/2016	4.70	null	3:59pm	3:59pm - <b>4.70</b>	null	null	364.68M	null	PLATINUM GROUP METALS LTD.	null	null	4.90	null	0.00	null	null	-32.86%	-1.05%	20.58%	61.33%	235.71%	4.75	0.97	null	156.67	null	null	null	0.61	TOR	PTM.to	null	null	2.91	45734	7.00	1.40	1.40 - 7.00	PTM
null	null	100.50	null	null	99.65	null	0.00	-0.05	null	null	0.00	0.00	null	null	-0.05 - -0.05%	-0.05%	null	CAD	100.45	100.45	100.45 - 100.45	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/8/2016	100.45	null	1:07pm	1:07pm - <b>100.45</b>	null	null	null	null	PLAZA RETAIL REIT 8.00 PCT DEBS	null	null	null	null	0.00	null	null	0.00%	-0.05%	null	null	0.00%	100.50	null	null	null	null	null	null	null	TOR	PLZ-DBB.to	null	null	null	65000	100.45	100.45	100.45 - 100.45	PLZ.DB.B
null	null	105.00	null	null	101.95	null	0.00	0.00	null	null	-0.55	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	102.50	101.95	101.95 - 102.50	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	4/7/2016	101.95	null	2:44pm	2:44pm - <b>101.95</b>	null	null	null	null	PLAZA RETAIL REIT 7.00 PCT DEBS	null	null	null	null	0.00	null	null	-0.54%	0.00%	null	null	0.00%	101.95	null	null	null	null	null	null	null	TOR	PLZ-DBC.to	null	null	null	27000	102.50	101.95	101.95 - 102.50	PLZ.DB.C
null	null	120.00	null	null	103.00	null	0.00	0.00	null	null	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	102.50	102.50	102.50 - 102.50	null	null	null	null	null	null	null	null	0.00	null	null	null	null	null	null	null	null	null	null	null	null	3/29/2016	102.50	null	9:29am	9:29am - <b>102.50</b>	null	null	null	null	PLAZA RETAIL REIT 5.75 PCT DEBS	null	null	null	null	0.00	null	null	0.00%	0.00%	null	null	0.00%	102.50	null	null	null	null	null	null	null	TOR	PLZ-DBD.to	null	null	null	7000	102.50	102.50	102.50 - 102.50	PLZ.DB.D
null	null	4.73	null	50832	4.69	null	0.00	0.09	0.09	0.20	-0.10	0.62	null	null	0.09 - 1.94%	1.94%	null	CAD	4.73	4.65	4.65 - 4.73	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	2/25/2016	4.63	null	null	null	null	null	null	null	4/8/2016	4.72	null	4:00pm	4:00pm - <b>4.72</b>	null	null	462.13B	null	PLAZA RETAIL REIT	null	null	4.65	null	0.00	null	null	-2.07%	1.94%	1.97%	4.48%	15.12%	4.63	null	null	null	null	null	null	0.00	TOR	PLZ-UN.to	null	null	4.52	29560	4.82	4.10	4.10 - 4.82	PLZ.UN
null	null	11.88	null	4297	11.62	null	2.77	-0.24	1.43	-0.33	-6.49	2.56	null	null	-0.24 - -2.00%	-2.00%	null	CAD	11.88	11.71	11.71 - 11.88	null	null	null	null	null	null	10.62M	0.43	0.08	null	0.36	null	null	10.33	null	null	null	null	null	null	null	4/8/2016	11.76	null	3:57pm	3:57pm - <b>11.76</b>	null	null	179.15M	null	POINTS INTERNATIONAL LTD.	null	null	11.88	null	0.81	32.67	null	-35.56%	-2.00%	13.79%	-2.72%	27.83%	12.00	4.33	27.35	18.67	null	0.65	null	15.92	TOR	PTS.to	null	null	12.09	2076	18.25	9.20	9.20 - 18.25	PTS
null	null	1.52	null	48222	1.45	null	0.84	0.00	-0.10	-0.14	-1.39	0.32	null	null	0.00 - 0.00%	0.00%	null	CAD	1.54	1.44	1.44 - 1.54	null	null	null	null	null	null	1.00M	0.04	0.00	null	-0.01	null	null	1.54	null	null	null	null	null	null	null	4/7/2016	1.44	null	3:25pm	3:25pm - <b>1.44</b>	null	null	126.68M	null	POLARIS MATERIALS CORPORATION	null	null	1.48	null	0.00	null	null	-49.12%	0.00%	-6.37%	-9.10%	28.57%	1.44	1.72	36.00	null	null	3.07	null	0.01	TOR	PLS.to	null	null	1.58	12925	2.83	1.12	1.12 - 2.83	PLS
null	null	8.37	null	6073	8.24	null	1.71	0.04	-0.05	0.66	-0.70	3.22	null	null	0.04 - 0.49%	0.49%	null	CAD	8.26	8.25	8.25 - 8.26	null	null	null	4/15/2016	0.12	1.50	25.33M	0.48	0.00	null	0.35	null	3/29/2016	8.30	null	null	null	null	null	null	null	4/8/2016	8.25	null	3:23pm	3:23pm - <b>8.25</b>	null	null	194.23M	null	POLLARD BANKNOTE LIMITED	null	null	8.26	null	0.00	23.57	null	-7.82%	0.49%	-0.55%	8.72%	64.02%	8.21	4.80	17.19	15.57	null	0.93	null	0.10	TOR	PBL.to	null	null	7.59	1500	8.95	5.03	5.03 - 8.95	PBL
null	null	34.90	null	1131910	34.84	null	17.47	0.47	0.82	2.85	-8.63	8.83	null	null	0.47 - 1.37%	1.37%	null	CAD	35.04	34.66	34.66 - 35.04	null	null	null	5/13/2016	1.92	5.58	948.00M	1.26	0.30	null	1.02	null	3/22/2016	34.06	null	null	null	null	null	null	null	4/8/2016	34.88	null	4:15pm	4:15pm - <b>34.88</b>	null	null	12.63B	null	PEMBINA PIPELINE CORPORATION	null	null	34.70	null	1.63	34.20	null	-19.83%	1.37%	2.41%	8.88%	33.90%	34.41	1.97	27.68	21.53	null	2.69	null	9.55	TOR	PPL.to	null	null	32.03	1195190	43.51	26.05	26.05 - 43.51	PPL
null	null	8.04	null	152052	7.99	null	13.69	0.00	0.60	-0.52	-10.70	7.99	null	null	0.00 - 0.00%	0.00%	null	CAD	8.09	7.94	7.94 - 8.09	null	null	null	5/30/2016	0.53	6.79	37.38M	-0.18	-0.07	null	-10.13	null	null	7.40	null	null	null	null	null	null	null	4/8/2016	8.00	null	3:59pm	3:59pm - <b>8.00</b>	null	null	124.10M	null	POLARIS INFRASTRUCTURE INC	null	null	7.94	null	0.00	null	null	-57.22%	0.00%	8.04%	-6.12%	79900.00%	8.00	0.58	null	19.51	null	2.44	null	0.98	TOR	PIF.to	null	null	8.52	83983	18.70	0.01	0.01 - 18.70	PIF
null	null	1.14	null	20940	1.10	null	0.67	-0.01	-0.06	-0.03	-0.61	0.34	null	null	-0.01 - -0.90%	-0.90%	null	CAD	1.14	1.10	1.10 - 1.14	null	null	null	null	null	null	-3.87M	-0.04	0.00	null	-0.03	null	null	1.16	null	null	null	null	null	null	null	4/8/2016	1.10	null	12:38pm	12:38pm - <b>1.10</b>	null	null	305.23M	null	POLYMET MINING CORP.	null	null	1.14	null	-1.38	null	null	-35.67%	-0.90%	-5.34%	-2.80%	44.74%	1.11	1.65	null	null	null	null	null	0.02	TOR	POM.to	null	null	1.13	1225	1.71	0.76	0.76 - 1.71	POM
null	null	0.19	null	3767	0.17	null	0.16	0.00	-0.03	-0.05	-0.16	0.01	null	null	0.00 - 0.00%	0.00%	null	CAD	0.18	0.17	0.17 - 0.18	null	null	null	null	null	null	-996953.00	null	0.00	null	-0.05	null	null	0.20	null	null	null	null	null	null	null	4/7/2016	0.17	null	9:37am	9:37am - <b>0.17</b>	null	null	12.89M	null	POSERA HDX LTD	null	null	0.18	null	0.00	null	null	-48.48%	0.00%	-13.89%	-21.80%	6.25%	0.17	1.10	null	null	null	0.63	null	0.00	TOR	PAY.to	null	null	0.22	22500	0.33	0.16	0.16 - 0.33	PAY
null	null	20.78	null	2772000	20.76	null	10.02	-0.32	-2.44	-4.02	-20.98	0.15	null	null	-0.32 - -1.52%	-1.52%	null	CAD	21.14	20.62	20.62 - 21.14	null	null	null	5/3/2016	1.41	6.70	2.38B	0.98	0.32	null	1.52	null	4/8/2016	23.21	null	null	null	null	null	null	null	4/8/2016	20.77	null	4:15pm	4:15pm - <b>20.77</b>	null	null	17.37B	null	POTASH CORP OF SASK INC	null	null	20.96	null	-2.71	13.66	null	-50.25%	-1.52%	-10.51%	-16.22%	0.70%	21.09	2.10	21.19	17.45	null	3.05	null	11.51	TOR	POT.to	null	null	24.79	2541444	41.75	20.62	20.62 - 41.75	POT
null	null	0.18	null	696271	0.17	null	0.34	0.01	0.08	0.12	-0.04	0.15	null	null	0.01 - 2.86%	2.86%	null	CAD	0.18	0.17	0.17 - 0.18	null	null	null	null	null	null	-2.72M	0.28	0.00	null	0.03	null	null	0.10	null	null	null	null	null	null	null	4/8/2016	0.18	null	3:59pm	3:59pm - <b>0.18</b>	null	null	15.64M	null	POTASH RIDGE CORPORATION	null	null	0.17	null	0.00	6.67	null	-20.00%	2.86%	81.82%	191.55%	500.00%	0.17	0.52	null	null	null	null	null	0.15	TOR	PRK.to	null	null	0.06	800613	0.22	0.03	0.03 - 0.22	PRK
null	null	0.08	null	null	0.03	null	0.00	0.00	0.08	0.08	-9.92	0.03	null	null	0.00 - 0.00%	0.00%	null	CAD	0.08	0.08	0.08 - 0.08	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	0.08	null	9:29am	9:29am - <b>0.08</b>	null	null	81.84M	null	POSTMEDIA NETWORK CANADA CORP C	null	null	0.08	null	0.00	null	null	-99.20%	0.00%	inf%	inf%	60.00%	0.08	null	null	null	null	null	null	0.00	TOR	PNC-A.to	null	null	0.00	1875	10.00	0.05	0.05 - 10.00	PNC.A
null	null	0.06	null	null	0.04	null	0.00	0.00	0.05	0.05	-1.18	0.00	null	null	0.00 - 0.00%	0.00%	null	CAD	0.05	0.05	0.05 - 0.05	null	null	null	null	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	0.05	null	10:07am	10:07am - <b>0.05</b>	null	null	14.01B	null	POSTMEDIA NETWORK CANADA CORP C	null	null	0.05	null	0.00	null	null	-95.93%	0.00%	inf%	inf%	0.00%	0.05	null	null	null	null	null	null	0.00	TOR	PNC-B.to	null	null	0.00	2301	1.23	0.05	0.05 - 1.23	PNC.B
null	null	31.70	null	478494	31.61	null	22.82	0.16	-0.28	-0.31	-6.44	2.77	null	null	0.16 - 0.51%	0.51%	null	CAD	31.91	31.46	31.46 - 31.91	null	null	null	4/29/2016	1.57	4.87	4.97B	3.23	0.82	null	3.22	null	4/6/2016	31.89	null	null	null	null	null	null	null	4/8/2016	31.61	null	4:16pm	4:16pm - <b>31.61</b>	null	null	22.55B	null	POWER FINANCIAL CORP.	null	null	31.61	null	1.32	9.83	null	-16.93%	0.51%	-0.88%	-0.97%	9.60%	31.45	1.38	9.79	8.98	null	0.58	null	55.90	TOR	PWF.to	null	null	31.92	824538	38.05	28.84	28.84 - 38.05	PWF
null	null	29.61	null	719038	29.59	null	27.11	0.55	0.18	0.41	-4.89	3.35	null	null	0.55 - 1.89%	1.89%	null	CAD	29.60	29.21	29.21 - 29.60	null	null	null	3/31/2016	1.25	4.25	5.45B	3.12	0.80	null	3.97	null	3/8/2016	29.42	null	null	null	null	null	null	null	4/8/2016	29.60	null	4:15pm	4:15pm - <b>29.60</b>	null	null	13.71B	null	POWER CORPORATION OF CANAD	null	null	29.22	null	0.85	7.45	null	-14.18%	1.89%	0.62%	1.40%	12.76%	29.05	1.07	9.49	8.60	null	0.33	null	26.47	TOR	POW.to	null	null	29.19	611905	34.49	26.25	26.25 - 34.49	POW
null	null	14.99	null	null	14.85	null	0.00	0.00	16.86	16.86	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	USD	16.86	16.86	16.86 - 16.86	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	16.86	null	10:47am	10:47am - <b>16.86</b>	null	null	null	null	PWRSHR FTSE RAFI GLB SML MID FD	null	null	null	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.00%	16.86	null	null	null	null	null	null	null	TOR	PZW-U.to	null	null	0.00	0	16.86	16.86	16.86 - 16.86	PZW.U
null	null	14.97	null	null	14.91	null	0.00	0.00	13.42	13.42	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	USD	13.42	13.42	13.42 - 13.42	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/28/2016	13.42	null	10:47am	10:47am - <b>13.42</b>	null	null	null	null	PWRSHR GLB SHAREHLDR YIELD USD	null	null	null	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.00%	13.42	null	null	null	null	null	null	null	TOR	PSY-U.to	null	null	0.00	0	13.42	13.42	13.42 - 13.42	PSY.U
null	null	18.31	null	null	18.19	null	0.00	0.00	18.23	18.23	0.00	0.04	null	null	0.00 - 0.00%	0.00%	null	USD	18.23	18.19	18.19 - 18.23	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/1/2016	18.23	null	2:38pm	2:38pm - <b>18.23</b>	null	null	null	null	POWERSHARES LAD US 0 TO 5 YR CO	null	null	18.19	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.22%	18.23	null	null	null	null	null	null	null	TOR	USB-U.to	null	null	0.00	4194	18.23	18.19	18.19 - 18.23	USB.U
null	null	15.22	null	null	15.19	null	0.00	0.00	15.41	15.41	0.00	0.00	null	null	0.00 - 0.00%	0.00%	null	USD	15.41	15.41	15.41 - 15.41	null	null	null	null	null	null	null	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	3/31/2016	15.41	null	12:10pm	12:10pm - <b>15.41</b>	null	null	null	null	PWRSHR FTSE RAFI US FDAMNTL ETF	null	null	15.41	null	0.00	null	null	0.00%	0.00%	inf%	inf%	0.00%	15.41	null	null	null	null	null	null	null	TOR	PXS-U.to	null	null	0.00	325	15.41	15.41	15.41 - 15.41	PXS.U
null	null	23.23	null	1241920	23.13	null	15.44	0.48	-0.39	-0.21	-11.49	6.03	null	null	0.48 - 2.11%	2.11%	null	CAD	23.48	23.06	23.06 - 23.48	null	null	null	4/15/2016	0.72	2.99	179.40M	0.16	0.05	null	0.40	null	3/29/2016	23.57	null	null	null	null	null	null	null	4/8/2016	23.18	null	4:15pm	4:15pm - <b>23.18</b>	null	null	4.07B	null	PRAIRIESKY ROYALTY LTD	null	null	23.30	null	-6.28	57.95	null	-33.14%	2.11%	-1.65%	-0.90%	35.16%	22.70	1.47	144.88	79.93	null	18.53	null	3.15	TOR	PSK.to	null	null	23.39	424400	34.67	17.15	17.15 - 34.67	PSK
null	null	9.65	null	null	7.80	null	0.00	0.00	9.36	9.36	-1.44	9.34	null	null	0.00 - 0.00%	0.00%	null	CAD	9.36	9.36	9.36 - 9.36	null	null	null	1/15/2013	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/7/2016	9.36	null	3:01pm	3:01pm - <b>9.36</b>	null	null	10.79B	null	PRECIOUS METALS BULLION TRUST	null	null	9.36	null	0.00	null	null	-13.33%	0.00%	inf%	inf%	46700.00%	9.36	null	null	null	null	null	null	0.00	TOR	PBU-UN.to	null	null	0.00	300	10.80	0.02	0.02 - 10.80	PBU.UN
null	null	6.00	null	null	5.90	null	0.00	-0.05	5.95	5.95	-2.85	0.84	null	null	-0.05 - -0.83%	-0.83%	null	CAD	6.00	5.95	5.95 - 6.00	null	null	null	4/15/2016	null	null	0.00	null	0.00	null	null	null	null	0.00	null	null	null	null	null	null	null	4/8/2016	5.95	null	11:49am	11:49am - <b>5.95</b>	null	null	31.31B	null	PREFERRED SHARE INVESTMENT TRUS	null	null	6.00	null	0.00	null	null	-32.39%	-0.83%	inf%	inf%	16.44%	6.00	null	null	null	null	null	null	0.00	TOR	PSF-UN.to	null	null	0.00	801	8.80	5.11	5.11 - 8.80	PSF.UN
null	null	5.41	null	2155870	5.39	null	7.24	0.06	0.02	0.23	-4.04	1.97	null	null	0.06 - 1.13%	1.13%	null	CAD	5.60	5.38	5.38 - 5.60	null	null	null	11/18/2015	0.00	0.00	328.02M	-0.78	-0.27	null	-1.24	null	11/4/2015	5.37	null	null	null	null	null	null	null	4/8/2016	5.39	null	4:00pm	4:00pm - <b>5.39</b>	null	null	1.58B	null	PRECISION DRILLING CORPORATION	null	null	5.56	null	0.25	null	null	-42.84%	1.13%	0.40%	4.37%	57.60%	5.33	0.74	null	null	null	1.00	null	2.43	TOR	PD.to	null	null	5.16	904848	9.43	3.42	3.42 - 9.43	PD
null	null	2.28	null	33319	2.26	null	0.00	0.07	0.20	0.17	-1.02	0.54	null	null	0.07 - 3.17%	3.17%	null	CAD	2.28	2.23	2.23 - 2.28	null	null	null	4/15/2016	0.12	7.59	0.00	null	0.00	null	-0.68	null	6/26/2015	2.08	null	null	null	null	null	null	null	4/8/2016	2.28	null	3:59pm	3:59pm - <b>2.28</b>	null	null	null	null	PRECIOUS METALS AND MINING TRUS	null	null	2.24	null	0.00	null	null	-30.91%	3.17%	9.63%	8.19%	31.03%	2.21	null	null	null	null	null	null	0.00	TOR	MMP-UN.to	null	null	2.11	23383	3.30	1.74	1.74 - 3.30	MMP.UN
